item_id,stratum,question_or_claim,evidence_or_answer,your_verdict,your_note
m01,retrieval_relevance,Must a property owner dedicate drainage easements or rights-of-way when developing?,LDC 25-7-67 MODIFIED DRAINAGE STANDARDS FOR RESIDENTIAL INFILL,,
m02,retrieval_relevance,What are the location requirements for short-term and long-term bicycle parking?,TCM 9.8.2 SHORT-TERM BICYCLE PARKING,,
m03,retrieval_relevance,Drainage Criteria Manual section 8.3.3 safety criteria for stormwater management ponds,DCM 8.4.0 DETENTION POND STORAGE DETERMINATION,,
m04,retrieval_relevance,What does LDC section 25-5-81 provide?,TCM 10.4.5 PROPORTIONALITY OF TRANSPORTATION IMPROVEMENTS,,
m05,retrieval_relevance,Must a property owner dedicate drainage easements or rights-of-way when developing?,LDC 25-7-31 REQUIREMENT FOR DRAINAGE STUDIES,,
m06,structured_data,"watershed_lookup(Taylor Slough North at 30.32202,-97.76194) -> returned found/Taylor Slough North",ground truth: Taylor Slough North,,
m07,structured_data,"watershed_lookup(outside coverage at 31.14936,-96.69319) -> returned not_found",this input has no valid answer; the tool must decline rather than answer. Expected: no watershed,,
m08,structured_data,"nearby_searches(nearby_permits at 30.34167,-97.74981) -> returned 20 record(s), sorted by distance, all within 800 ft","ground truth: 43 record(s) within 800 ft; the tool returns at most 20 (result cap), nearest first",,
m09,structured_data,geocode(505 BARTON SPRINGS RD) -> returned found/30.25750586,"ground truth: 30.25751,-97.74920",,
m10,structured_data,geocode(6117 JANEY DR) -> returned found/30.34167027,"ground truth: 30.34167,-97.74981",,
m11,citation_support,A person cannot connect a property to the City's water or wastewater utility system unless they hold a tap permit issued by the director of the Water and Wastewater Utility approving the connection.,cited None - no cited section was topically related to the claim,,
m12,citation_support,A large development project with a property boundary located within 500 feet of a reclaimed water line must also connect to a reclaimed water line and use reclaimed water for the same purposes.,cited None - no cited section was topically related to the claim,,
m13,citation_support,case_number is a unique identifier for each permit case.,cited None - no cited section was topically related to the claim,,
m14,citation_support,"The permit array contains objects with properties case_number, address, status, work_type, and distance.",cited None - no cited section was topically related to the claim,,
m15,citation_support,Plan reviews submitted are counted.,cited None - no cited section was topically related to the claim,,
