item_id,stratum,question_or_claim,evidence_or_answer,your_verdict,your_note
m01,retrieval_relevance,Must a property owner dedicate drainage easements or rights-of-way when developing?,LDC 25-7-151 STORMWATER CONVEYANCE AND DRAINAGE FACILITIES,relevant,
m02,retrieval_relevance,What are the location requirements for short-term and long-term bicycle parking?,TCM 9.8.2 SHORT-TERM BICYCLE PARKING,relevant,
m03,retrieval_relevance,Drainage Criteria Manual section 8.3.3 safety criteria for stormwater management ponds,DCM 8.3.3 Safety Criteria for SWM Ponds,relevant,
m04,retrieval_relevance,What does LDC section 25-5-81 provide?,TCM 10.4.5 PROPORTIONALITY OF TRANSPORTATION IMPROVEMENTS,not_relevant,TCM passage offered for a question about an LDC section
m05,retrieval_relevance,Must a property owner dedicate drainage easements or rights-of-way when developing?,LDC 25-7-31 REQUIREMENT FOR DRAINAGE STUDIES,relevant,
m06,structured_data,"watershed_lookup(Taylor Slough North at 30.32202,-97.76194) -> returned found/Taylor Slough North",ground truth: Taylor Slough North,correct,
m07,structured_data,"watershed_lookup(outside coverage at 31.14936,-96.69319) -> returned not_found",this input has no valid answer; the tool must decline rather than answer. Expected: no watershed,correct,point outside coverage; declining is the right behaviour
m08,structured_data,"nearby_searches(nearby_permits at 30.34167,-97.74981) -> returned 20 record(s), sorted by distance, all within 800 ft","ground truth: 43 record(s) within 800 ft; the tool returns at most 20 (result cap), nearest first",correct,"20 of 43 returned, nearest first, within the documented cap"
m09,structured_data,geocode(505 BARTON SPRINGS RD) -> returned found/30.25750586,"ground truth: 30.25751,-97.74920",correct,
m10,structured_data,geocode(6117 JANEY DR) -> returned found/30.34167027,"ground truth: 30.34167,-97.74981",correct,
m11,citation_support,"The project must comply with parking requirements, including adequate drives, aisles, and turning areas for access and usability.",cited None - no cited section was topically related to the claim,unsupported,no related section cited
m12,citation_support,Water and wastewater capacity are confirmed available for the proposed development.,"cited LDC 25-9-93 APPLICATION FOR TAP PERMIT; FEES; CAPACITY - The evidence states that water and wastewater capacity are confirmed available for the proposed development, as it explicitly mentions that the director of the Water and Wastewater Utility will not approve an application if existing facilities do not have actual capacity to serve the new connection.",unsupported,25-9-93 sets out the tap permit process; it does not confirm capacity for this site
m13,citation_support,"The site does not intersect with the floodplain, but there are nearby properties that have experienced flooding issues.",cited None - no cited section was topically related to the claim,unsupported,no related section cited
m14,citation_support,Floodplain regulations may require additional mitigation measures.,cited LDC 25-2-563 MULTIFAMILY RESIDENCE MODERATE-HIGH DENSITY (MF-4) AND MULTIFAMILY RESIDENCE HIGH DENSITY (MF-5) DISTRICT REGULATIONS - claim and cited section share only 0% of the claim's content terms,unsupported,"cited section is MF-4/MF-5 density rules, not floodplain"
m15,citation_support,The proposed development is consistent with the SF-3-NP zoning designation.,cited LDC 25-2-567 SPECIAL REQUIREMENTS FOR AFFORDABLE HOUSING IN CERTAIN MULTIFAMILY DISTRICTS - claim and cited section share only 17% of the claim's content terms,unsupported,"cited section covers multifamily affordable housing, not SF-3-NP"
